instrument_type_,instrument_type,resolution,collisionEnergy,collisionEnergyUnit,fragmentation_mode,instrument
-Maxis HD qTOF,ESI-QTOF,,,,,Maxis HD QTOF Bruker
-Q-Exactive Plus Orbitrap Res 14k,ESI-QFT,14000,,,,Q Exactive Plus Orbitrap Thermo Scientific
-Q-Exactive Plus Orbitrap Res 70k,ESI-QFT,70000,,,,Q Exactive Plus Orbitrap Thermo Scientific
APCI-Ion Trap,APCI-IT,,,,,generic ion trap
APCI-Orbitrap,APCI-QFT,,,,,Orbitrap Thermo Scientific
APCI-QQQ,APCI-QQ,,,,,generic QQQ
APCI-qTof,APCI-QTOF,,,,,generic QTOF
CI (MeOH)-IT/ion trap,CI-IT,,,,,generic ion trap
CI-IT/ion trap,CI-IT,,,,,generic ion trap
DI-ESI-Hybrid FT,ESI-QFT,,,,,
DI-ESI-Ion Trap,ESI-IT,,,,,
DI-ESI-Orbitrap,ESI-QFT,,,,,
DI-ESI-Q-Exactive Plus,ESI-QFT,,,,,
DI-ESI-QQQ,ESI-QQ,,,,,
DI-ESI-qTof,ESI-QTOF,,,,,
DIRECT INFUSION NANOESI-ION TRAP-DIRECT INFUSION NANOESI-ION TRAP,ESI-IT,,,,,
ESI or APCI-IT/ion trap,ESI-IT,,,,,
ESI-APCI-ITFT,APCI-ITFT,,,,,
ESI-ESI-FTICR,ESI-FT,,,,,
ESI-ESI-ITFT,ESI-ITFT,,,,,
ESI-FAB-EBEB,FAB-EBEB,,,,,
ESI-Flow-injection QqQ/MS,ESI-QQ,,,,,
ESI-HCD,ESI-QFT,,,,HCD,
ESI-HPLC-ESI-TOF,LC-ESI-TOF,,,,,
ESI-Hybrid FT,ESI-QFT,,,,,
ESI-IT-FT/ion trap with FTMS,ESI-ITFT,,,,,
ESI-IT/ion trap,ESI-IT,,,,,
ESI-Ion Trap,ESI-IT,,,,,
ESI-LC-APPI-QQ,LC-APPI-QQ,,,,,
ESI-LC-ESI-IT,LC-ESI-IT,,,,,
ESI-LC-ESI-ITFT,LC-ESI-ITFT,,,,,
ESI-LC-ESI-ITTOF,LC-ESI-ITTOF,,,,,
ESI-LC-ESI-Q,LC-ESI-Q,,,,,
ESI-LC-ESI-QFT,LC-ESI-QFT,,,,,
ESI-LC-ESI-QQ,LC-ESI-QQ,,,,,
ESI-LC-ESI-QTOF,LC-ESI-QTOF,,,,,
ESI-LC-Q-TOF/MS,LC-ESI-QTOF,,,,,
ESI-Orbitrap,ESI-ITFT,,,,,
ESI-Q-TOF,ESI-QTOF,,,,,
ESI-QIT,ESI-QIT,,,,,
ESI-QQQ,ESI-QQ,,,,,
ESI-QqQ,ESI-QQ,,,,,
ESI-UPLC-ESI-QTOF,LC-ESI-QTOF,,,,,
ESI-qTOF,ESI-QTOF,,,,,
ESI-qToF,ESI-QTOF,,,,,
ESI-qTof,ESI-QTOF,,,,,
FAB-BEqQ/magnetic and electric sectors with quadrupole,FAB-BEQQ,,,,,
In-source CID-API,ESI-QQ,,,,CID,
LC-APCI-qTof,LC-APCI-QTOF,,,,,
LC-ESI- impact HD,LC-ESI-QTOF,,,,,
LC-ESI-CID; Lumos,LC-ESI-ITFT,,,,CID,Lumos Thermo Scientific
LC-ESI-CID; Velos,LC-ESI-ITFT,,,,CID,Velos Thermo Scientific
LC-ESI-HCD; Lumos,LC-ESI-ITFT,,,,HCD,Lumos Thermo Scientific
LC-ESI-HCD; Velos,LC-ESI-ITFT,,,,HCD,Velos Thermo Scientific
LC-ESI-Hybrid FT,LC-ESI-QFT,,,,,
LC-ESI-Hybrid Ft,LC-ESI-QFT,,,,,
LC-ESI-ITFT-LC-ESI-ITFT,LC-ESI-ITFT,,,,,
LC-ESI-ITTOF-LC-ESI-ITTOF,LC-ESI-ITTOF,,,,,
LC-ESI-Ion Trap,LC-ESI-IT,,,,,
LC-ESI-LCQ,LC-ESI-IT,,,,,
LC-ESI-Maxis HD qTOF,LC-ESI-QTOF,,,,,maXis HD Bruker
LC-ESI-Maxis II HD Q-TOF Bruker,LC-ESI-QTOF,,,,,maXis II HD Bruker
LC-ESI-Orbitrap,LC-ESI-ITFT,,,,,Orbitrap Thermo Scientific
LC-ESI-Q-Exactive Plus,LC-ESI-QFT,,,,,Q Exactive Plus Thermo Scientific
LC-ESI-Q-Exactive Plus Orbitrap Res 14k,LC-ESI-QFT,14000,,,,Q Exactive Plus Thermo Scientific
LC-ESI-Q-Exactive Plus Orbitrap Res 70k,LC-ESI-QFT,70000,,,,Q Exactive Plus Thermo Scientific
LC-ESI-QQ-LC-ESI-QQ,LC-ESI-QQ,,,,,
LC-ESI-QQQ,LC-ESI-QQ,,,,,
LC-ESI-QTOF-LC-ESI-QTOF,LC-ESI-QTOF,,,,,
LC-ESI-qTOF,LC-ESI-QTOF,,,,,
LC-ESI-qToF,LC-ESI-QTOF,,,,,
LC-ESI-qTof,LC-ESI-QTOF,,,,,
LC-ESIMS-qTOF,LC-ESI-ITFT,,,,,
N/A-ESI-QFT,ESI-QFT,,,,,
N/A-ESI-QTOF,ESI-QTOF,,,,,
N/A-Linear Ion Trap,ESI-IT,,,,,
N/A-N/A,ESI-QTOF,,,,,unknown
Negative-Quattro_QQQ:10eV,ESI-QQ,,10,eV,,Quattro Waters
Negative-Quattro_QQQ:25eV,ESI-QQ,,25,eV,,Quattro Waters
Negative-Quattro_QQQ:40eV,ESI-QQ,,40,eV,,Quattro Waters
Positive-Quattro_QQQ:10eV,ESI-QQ,,10,eV,,Quattro Waters
Positive-Quattro_QQQ:25eV,ESI-QQ,,25,eV,,Quattro Waters
Positive-Quattro_QQQ:40eV,ESI-QQ,,40,eV,,Quattro Waters
