uchem_id	retentionTime
10604	10.4
2818	12.2
2819	13.2
2674	14.8
4282	13
3148	10.2
4278	12
3865	3.7
3383	16.3
2820	3.53
2899	11.8
2798	8.2
3577	12
3848	6.9
3263	25
2649	9.4
2862	14
3844	3
4089	17.72
267	18.8
10730	8.2
330	16.6
85	12.7
4336	16.6
4326	20.7
4084	11.19
125	9
138	9.5
126	12.9
271	4.7
281	8
300	20.1
3849	8.92
10628	15
10630	15.6
10630	12.9
10674	12.5
2704	19.4
3850	15.2
3851	13.2
4087	15.73
325	17.8
344	22.6
236	11.9
845	9.7
3380	20.4
702	9.3
1038	11.8
3397	19.2
3845	6.5
10551	8.5
2900	11.8
10603	17.9
52	12.69
3852	10.2
280	12.4
3121	3.47
3403	19.9
10458	14.6
167	15.4
3838	6.9
4106	14.4
3614	8.9
3853	6.1
10670	20.9
11001	9.85
2848	4.9
3122	19.24
2986	12.94
102	17.4
104	20.5
10751	21.9
159	12.8
3304	7.6
274	18.94
2851	7.48
272	16
3350	13.3
3123	15.71
3336	6.84
11011	18.63
4096	16.2
10710	16.2
3650	18.1
3124	12.1
2708	13.9
3165	18
4095	10
4104	20.9
2852	9.35
3399	11.2
2821	16.14
10685	15.16
3866	19.3
3867	12.4
2822	10.5
2770	12.3
4195	7.5
4195	7.5
156	9.28
3012	20
2670	3.53
169	7.52
697	10.5
2846	14.56
2810	18.19
157	14.4
157	14.4
279	11.4
277	7.7
309	15.3
287	13.4
288	17.08
3393	9
3358	6.93
3334	11
2989	16.6
190	13.1
89	18.7
2734	17.9
3035	21.08
3296	16.3
3385	17.35
3055	19.7
3595	11.48
301	14.3
230	19.17
343	16.45
166	13.5
2823	13
2785	18.5
3244	19.3
3242	18.4
3295	21.5
209	17.88
10585	16.01
3013	13.9
3479	20.4
2938	19.2
3628	16.9
266	17.3
3700	20.5
3322	17.9
3508	19.2
3305	14
3509	21.7
2803	12.55
10598	10.4
303	11.21
10688	18.68
2804	18.7
2845	16.21
2701	15.3
916	15.7
194	16.14
278	9.73
136	15.14
3040	17
3327	18
3335	9.2
3238	9.8
3015	13.1
2772	17.4
3233	17.74
3480	18.7
10513	14.9
3041	20.8
698	7.6
699	10.2
88	14.7
10563	14.76
10435	9.3
10332	10
273	16.79
2951	21.2
2950	22.5
273	18
2555	12.3
276	11.7
2901	14.5
191	17
3515	21.4
2739	15.21
657	14.7
3593	17.8
3545	19.7
139	17.58
3669	15.8
10515	17.4
2854	13.49
3516	12.8
3812	22.4
3812	22
10544	11.9
2933	13.7
329	15.5
2841	13.37
2817	12.2
2780	8.09
303	12.5
3198	19
3199	17.3
3282	7
3200	17.9
3187	16
3546	20.1
2579	14.7
4319	21.7
4182	19
3045	21.98
3189	18.8
3481	21
4210	9.9
112	14.89
86	19.57
4173	10
148	19.6
2984	6.27
2672	19.5
2637	14.1
3016	16.49
2842	20.42
3461	12.3
3275	10.26
144	18.6
3264	19.6
2612	18.7
2824	13.56
10521	14.1
239	10
239	10
2626	17.97
293	20.8
2705	18.8
3294	16.3
3047	16.9
201	19.12
3135	9.7
2788	15.87
2906	20
3284	18
3517	19
2934	21.2
3518	20.5
116	21.2
643	11.3
3333	2.52
3017	14.12
3166	17.37
2535	19.7
2536	19.2
707	18.8
260	22.2
254	18.12
2761	14.5
2944	18.94
3846	15.5
2913	20.73
10669	9.9
3352	14.56
10602	19.1
3847	17.51
3855	12.2
289	18
294	18.4
292	17.31
296	16
2907	18
10692	16.79
3293	15.4
3856	15.9
3018	9.44
2855	17.6
3307	9.5
10539	14.9
10795	3.9
2825	14.4
3292	18.9
3814	19.29
3347	8.45
3106	8.45
2758	9.6
95	20.1
2776	14.6
189	16
2782	2.3
3482	1.9
4085	13.82
118	15.2
117	19
118	15.2
4337	19.7
3308	20.5
4149	21.82
661	19.6
11002	19.54
3056	19.2
3469	12.85
3057	18.56
336	22.5
337	20.8
2940	18.85
2958	16.5
146	16.6
4098	19.6
3640	13.5
3019	14.72
10561	18.16
4181	18.9
4322	17.7
2807	22.3
3020	14.6
3548	15.2
3093	21.69
328	14.2
3240	18.58
663	18.9
664	19
709	18.54
3021	21.3
3167	18.8
3709	18
3483	19.4
10491	13.5
3484	19.9
3058	19.8
334	15.21
3485	19.3
3621	14.1
3549	19.9
97	20.1
3524	19.4
3136	20.6
4184	12
4105	19.2
3049	20.5
2778	17.6
3324	23
3525	12
2561	10.5
660	21.9
2603	6.5
3071	20.15
3265	17.9
2589	20
3253	2.5
3566	15
3562	21
3114	18
10456	17.6
2912	20
3746	3.1
256	17.2
3527	17
3332	9.5
3201	18.1
3757	9.2
10797	12.7
203	21
203	21
203	17.1
2991	17.53
2683	14.19
3528	15.5
2939	15.2
3059	9
2956	13.3
2709	13.5
992	19.8
207	19.17
2707	10.8
3487	19
231	8.6
240	8.7
241	7.8
242	9.9
3125	7.9
342	9.2
342	9.6
305	17.8
3060	20.24
2936	18.56
2774	16.83
283	16.2
302	17.35
10988	19.99
285	17.7
304	18.1
286	17.1
3168	20.6
3488	18.3
2826	10.71
3262	16.1
205	17.35
3463	19.9
154	19.1
2676	11.83
3137	16.8
2949	18.7
3585	16.06
2857	8.63
2564	9.6
3239	11.3
2572	11
3279	12.2
3291	14.9
160	19.1
10995	10.26
10549	16
10438	21.2
3138	18.3
2794	16.77
3139	20.12
3303	21.95
3489	5.9
3061	19.3
3317	15.96
3616	10.4
3022	14.6
208	20.1
3169	20.9
3151	14.5
11023	14.73
3351	15
3062	20
3331	5.46
2827	11.4
3126	11.4
3290	12.2
4109	3.78
10665	10
3170	17.8
258	14.51
4170	16
135	18.3
3800	13.5
4	14.5
58	14.4
3127	17.5
705	18.2
269	18.1
3171	21.1
2550	3.07
2828	15.7
2829	10.6
3096	18.6
2953	13.7
2937	19.3
2942	12
10672	12
10459	16.5
2935	19.4
3285	16.3
126	12.9
10577	16.2
10545	17.9
2621	18.7
2781	10.32
67	18
265	18.65
4179	20
268	19.06
172	11.3
3172	16.9
3204	14.6
3063	21.2
91	17.6
93	15.5
90	17.1
197	10
128	16.7
3010	12.32
3278	15.2
3274	14.2
3023	14.5
3205	20.6
3622	11.06
10527	13.8
2675	10.67
3842	13.7
3173	17.6
161	15.55
2744	6.37
10634	15.8
2957	19.5
2808	17.44
2905	19.4
331	11.1
641	7.9
2787	19.2
3398	12.8
3394	17
3858	13.1
3420	10.7
3565	12.7
1034	14.1
3004	8.43
638	15.4
2658	13.7
213	17.01
4335	8.1
340	17
296	16
341	6
2657	12.2
248	12
245	15.8
247	13.1
299	14.5
249	12.3
3206	18.8
10959	11.73
10737	8.04
2830	9.7
10528	19.4
120	18.74
202	17.76
3289	20.9
2815	15.85
